,date,time,action,protocol,src-ip,dist-ip,size,tcpflags,tcpsyn,tcpack,tcpwin,icmptype,icmpcode,path
6413,2021-02-11,14:46:09,ALLOW,TCP,127.0.0.1,127.0.0.1,51461,9770,0,-,0,0,0,RECEIVE
6414,2021-02-11,14:46:10,ALLOW,TCP,127.0.0.1,127.0.0.1,51462,9770,0,-,0,0,0,SEND
6415,2021-02-11,14:46:10,ALLOW,TCP,127.0.0.1,127.0.0.1,51462,9770,0,-,0,0,0,RECEIVE
6416,2021-02-11,14:46:10,ALLOW,UDP,192.168.1.166,192.168.1.1,64608,53,0,-,-,-,-,SEND
6417,2021-02-11,14:46:10,ALLOW,UDP,192.168.1.166,142.250.67.206,64609,443,0,-,-,-,-,SEND
6418,2021-02-11,14:46:10,ALLOW,TCP,192.168.1.166,142.250.67.206,51463,443,0,-,0,0,0,SEND
6419,2021-02-11,14:46:11,ALLOW,TCP,127.0.0.1,127.0.0.1,51464,9770,0,-,0,0,0,SEND
6420,2021-02-11,14:46:11,ALLOW,TCP,127.0.0.1,127.0.0.1,51464,9770,0,-,0,0,0,RECEIVE
6421,2021-02-11,14:46:12,ALLOW,TCP,127.0.0.1,127.0.0.1,51467,9770,0,-,0,0,0,SEND
6422,2021-02-11,14:46:12,ALLOW,TCP,127.0.0.1,127.0.0.1,51467,9770,0,-,0,0,0,RECEIVE
6423,2021-02-11,14:46:13,ALLOW,TCP,127.0.0.1,127.0.0.1,51468,9770,0,-,0,0,0,SEND
6424,2021-02-11,14:46:13,ALLOW,TCP,127.0.0.1,127.0.0.1,51468,9770,0,-,0,0,0,RECEIVE
6425,2021-02-11,14:46:14,ALLOW,TCP,127.0.0.1,127.0.0.1,51469,9770,0,-,0,0,0,SEND
6426,2021-02-11,14:46:14,ALLOW,TCP,127.0.0.1,127.0.0.1,51469,9770,0,-,0,0,0,RECEIVE
6427,2021-02-11,14:46:15,ALLOW,TCP,127.0.0.1,127.0.0.1,51472,9770,0,-,0,0,0,SEND
6428,2021-02-11,14:46:15,ALLOW,TCP,127.0.0.1,127.0.0.1,51472,9770,0,-,0,0,0,RECEIVE
6429,2021-02-11,14:46:16,ALLOW,TCP,127.0.0.1,127.0.0.1,51473,9770,0,-,0,0,0,SEND
6430,2021-02-11,14:46:16,ALLOW,TCP,127.0.0.1,127.0.0.1,51473,9770,0,-,0,0,0,RECEIVE
6431,2021-02-11,14:46:17,ALLOW,TCP,127.0.0.1,127.0.0.1,51474,9770,0,-,0,0,0,SEND
6432,2021-02-11,14:46:17,ALLOW,TCP,127.0.0.1,127.0.0.1,51474,9770,0,-,0,0,0,RECEIVE
6433,2021-02-11,14:46:18,ALLOW,TCP,127.0.0.1,127.0.0.1,51476,9770,0,-,0,0,0,SEND
6434,2021-02-11,14:46:18,ALLOW,TCP,127.0.0.1,127.0.0.1,51476,9770,0,-,0,0,0,RECEIVE
6435,2021-02-11,14:46:19,ALLOW,TCP,127.0.0.1,127.0.0.1,51478,9770,0,-,0,0,0,SEND
6436,2021-02-11,14:46:19,ALLOW,TCP,127.0.0.1,127.0.0.1,51478,9770,0,-,0,0,0,RECEIVE
6437,2021-02-11,14:46:20,ALLOW,TCP,127.0.0.1,127.0.0.1,51479,9770,0,-,0,0,0,SEND
6438,2021-02-11,14:46:20,ALLOW,TCP,127.0.0.1,127.0.0.1,51479,9770,0,-,0,0,0,RECEIVE
6439,2021-02-11,14:46:21,ALLOW,TCP,127.0.0.1,127.0.0.1,51480,9770,0,-,0,0,0,SEND
6440,2021-02-11,14:46:21,ALLOW,TCP,127.0.0.1,127.0.0.1,51480,9770,0,-,0,0,0,RECEIVE
6441,2021-02-11,14:46:22,ALLOW,TCP,127.0.0.1,127.0.0.1,51482,9770,0,-,0,0,0,SEND
6442,2021-02-11,14:46:22,ALLOW,TCP,127.0.0.1,127.0.0.1,51482,9770,0,-,0,0,0,RECEIVE
6443,2021-02-11,14:46:23,ALLOW,TCP,127.0.0.1,127.0.0.1,51484,9770,0,-,0,0,0,SEND
6444,2021-02-11,14:46:23,ALLOW,TCP,127.0.0.1,127.0.0.1,51484,9770,0,-,0,0,0,RECEIVE
6445,2021-02-11,14:46:24,ALLOW,TCP,127.0.0.1,127.0.0.1,51485,9770,0,-,0,0,0,SEND
6446,2021-02-11,14:46:24,ALLOW,TCP,127.0.0.1,127.0.0.1,51485,9770,0,-,0,0,0,RECEIVE
6447,2021-02-11,14:46:25,ALLOW,TCP,127.0.0.1,127.0.0.1,51486,9770,0,-,0,0,0,SEND
6448,2021-02-11,14:46:25,ALLOW,TCP,127.0.0.1,127.0.0.1,51486,9770,0,-,0,0,0,RECEIVE
6449,2021-02-11,14:46:26,ALLOW,TCP,127.0.0.1,127.0.0.1,51487,9770,0,-,0,0,0,SEND
6450,2021-02-11,14:46:26,ALLOW,TCP,127.0.0.1,127.0.0.1,51487,9770,0,-,0,0,0,RECEIVE
6451,2021-02-11,14:46:27,ALLOW,TCP,127.0.0.1,127.0.0.1,51488,9770,0,-,0,0,0,SEND
6452,2021-02-11,14:46:27,ALLOW,TCP,127.0.0.1,127.0.0.1,51488,9770,0,-,0,0,0,RECEIVE
6453,2021-02-11,14:46:28,ALLOW,TCP,127.0.0.1,127.0.0.1,51491,9770,0,-,0,0,0,SEND
6454,2021-02-11,14:46:28,ALLOW,TCP,127.0.0.1,127.0.0.1,51491,9770,0,-,0,0,0,RECEIVE
6455,2021-02-11,14:46:29,ALLOW,TCP,127.0.0.1,127.0.0.1,51492,9770,0,-,0,0,0,SEND
6456,2021-02-11,14:46:29,ALLOW,TCP,127.0.0.1,127.0.0.1,51492,9770,0,-,0,0,0,RECEIVE
6457,2021-02-11,14:46:30,ALLOW,TCP,127.0.0.1,127.0.0.1,51493,9770,0,-,0,0,0,SEND
6458,2021-02-11,14:46:30,ALLOW,TCP,127.0.0.1,127.0.0.1,51493,9770,0,-,0,0,0,RECEIVE
6459,2021-02-11,14:46:31,ALLOW,TCP,127.0.0.1,127.0.0.1,51494,9770,0,-,0,0,0,SEND
6460,2021-02-11,14:46:31,ALLOW,TCP,127.0.0.1,127.0.0.1,51494,9770,0,-,0,0,0,RECEIVE
6461,2021-02-11,14:46:32,ALLOW,TCP,127.0.0.1,127.0.0.1,51495,9770,0,-,0,0,0,SEND
6462,2021-02-11,14:46:32,ALLOW,TCP,127.0.0.1,127.0.0.1,51495,9770,0,-,0,0,0,RECEIVE
6463,2021-02-11,14:46:33,ALLOW,TCP,127.0.0.1,127.0.0.1,51496,9770,0,-,0,0,0,SEND
6464,2021-02-11,14:46:33,ALLOW,TCP,127.0.0.1,127.0.0.1,51496,9770,0,-,0,0,0,RECEIVE
6465,2021-02-11,14:46:34,ALLOW,TCP,127.0.0.1,127.0.0.1,51497,9770,0,-,0,0,0,SEND
6466,2021-02-11,14:46:34,ALLOW,TCP,127.0.0.1,127.0.0.1,51497,9770,0,-,0,0,0,RECEIVE
6467,2021-02-11,14:46:35,ALLOW,TCP,127.0.0.1,127.0.0.1,51500,9770,0,-,0,0,0,SEND
6468,2021-02-11,14:46:35,ALLOW,TCP,127.0.0.1,127.0.0.1,51500,9770,0,-,0,0,0,RECEIVE
6469,2021-02-11,14:46:36,ALLOW,TCP,127.0.0.1,127.0.0.1,51501,9770,0,-,0,0,0,SEND
6470,2021-02-11,14:46:36,ALLOW,TCP,127.0.0.1,127.0.0.1,51501,9770,0,-,0,0,0,RECEIVE
6471,2021-02-11,14:46:37,ALLOW,TCP,127.0.0.1,127.0.0.1,51502,9770,0,-,0,0,0,SEND
6472,2021-02-11,14:46:37,ALLOW,TCP,127.0.0.1,127.0.0.1,51502,9770,0,-,0,0,0,RECEIVE
6473,2021-02-11,14:46:38,ALLOW,TCP,127.0.0.1,127.0.0.1,51503,9770,0,-,0,0,0,SEND
6474,2021-02-11,14:46:38,ALLOW,TCP,127.0.0.1,127.0.0.1,51503,9770,0,-,0,0,0,RECEIVE
6475,2021-02-11,14:46:39,ALLOW,TCP,127.0.0.1,127.0.0.1,51504,9770,0,-,0,0,0,SEND
6476,2021-02-11,14:46:39,ALLOW,TCP,127.0.0.1,127.0.0.1,51504,9770,0,-,0,0,0,RECEIVE
6477,2021-02-11,14:46:40,ALLOW,TCP,127.0.0.1,127.0.0.1,51505,9770,0,-,0,0,0,SEND
6478,2021-02-11,14:46:40,ALLOW,TCP,127.0.0.1,127.0.0.1,51505,9770,0,-,0,0,0,RECEIVE
6479,2021-02-11,14:46:41,ALLOW,TCP,127.0.0.1,127.0.0.1,51507,9770,0,-,0,0,0,SEND
6480,2021-02-11,14:46:41,ALLOW,TCP,127.0.0.1,127.0.0.1,51507,9770,0,-,0,0,0,RECEIVE
6481,2021-02-11,14:46:42,ALLOW,TCP,127.0.0.1,127.0.0.1,51509,9770,0,-,0,0,0,SEND
6482,2021-02-11,14:46:42,ALLOW,TCP,127.0.0.1,127.0.0.1,51509,9770,0,-,0,0,0,RECEIVE
6483,2021-02-11,14:46:43,ALLOW,TCP,127.0.0.1,127.0.0.1,51510,9770,0,-,0,0,0,SEND
6484,2021-02-11,14:46:43,ALLOW,TCP,127.0.0.1,127.0.0.1,51510,9770,0,-,0,0,0,RECEIVE
6485,2021-02-11,14:46:44,ALLOW,UDP,10.5.1.4,10.5.1.255,138,138,0,-,-,-,-,SEND
6486,2021-02-11,14:46:44,ALLOW,UDP,10.5.1.4,10.5.1.255,138,138,0,-,-,-,-,RECEIVE
6487,2021-02-11,14:46:44,ALLOW,UDP,192.168.1.166,192.168.1.255,138,138,0,-,-,-,-,SEND
6488,2021-02-11,14:46:44,ALLOW,UDP,192.168.1.166,192.168.1.255,138,138,0,-,-,-,-,RECEIVE
6489,2021-02-11,14:46:44,ALLOW,UDP,192.168.56.1,192.168.56.255,138,138,0,-,-,-,-,SEND
6490,2021-02-11,14:46:44,ALLOW,UDP,192.168.56.1,192.168.56.255,138,138,0,-,-,-,-,RECEIVE
6491,2021-02-11,14:46:44,ALLOW,UDP,192.168.99.1,192.168.99.255,138,138,0,-,-,-,-,SEND
6492,2021-02-11,14:46:44,ALLOW,UDP,192.168.99.1,192.168.99.255,138,138,0,-,-,-,-,RECEIVE
6493,2021-02-11,14:46:44,ALLOW,TCP,127.0.0.1,127.0.0.1,51511,9770,0,-,0,0,0,SEND
6494,2021-02-11,14:46:44,ALLOW,TCP,127.0.0.1,127.0.0.1,51511,9770,0,-,0,0,0,RECEIVE
6495,2021-02-11,14:46:45,ALLOW,TCP,127.0.0.1,127.0.0.1,51512,9770,0,-,0,0,0,SEND
6496,2021-02-11,14:46:45,ALLOW,TCP,127.0.0.1,127.0.0.1,51512,9770,0,-,0,0,0,RECEIVE
6497,2021-02-11,14:46:46,ALLOW,TCP,127.0.0.1,127.0.0.1,51513,9770,0,-,0,0,0,SEND
6498,2021-02-11,14:46:46,ALLOW,TCP,127.0.0.1,127.0.0.1,51513,9770,0,-,0,0,0,RECEIVE
6499,2021-02-11,14:46:47,ALLOW,TCP,127.0.0.1,127.0.0.1,51516,9770,0,-,0,0,0,SEND
6500,2021-02-11,14:46:47,ALLOW,TCP,127.0.0.1,127.0.0.1,51516,9770,0,-,0,0,0,RECEIVE
6501,2021-02-11,14:46:48,ALLOW,TCP,127.0.0.1,127.0.0.1,51517,9770,0,-,0,0,0,SEND
6502,2021-02-11,14:46:48,ALLOW,TCP,127.0.0.1,127.0.0.1,51517,9770,0,-,0,0,0,RECEIVE
6503,2021-02-11,14:46:49,ALLOW,TCP,127.0.0.1,127.0.0.1,51518,9770,0,-,0,0,0,SEND
6504,2021-02-11,14:46:49,ALLOW,TCP,127.0.0.1,127.0.0.1,51518,9770,0,-,0,0,0,RECEIVE
6505,2021-02-11,14:46:50,ALLOW,TCP,127.0.0.1,127.0.0.1,51519,9770,0,-,0,0,0,SEND
6506,2021-02-11,14:46:50,ALLOW,TCP,127.0.0.1,127.0.0.1,51519,9770,0,-,0,0,0,RECEIVE
6507,2021-02-11,14:46:51,ALLOW,TCP,127.0.0.1,127.0.0.1,51520,9770,0,-,0,0,0,SEND
6508,2021-02-11,14:46:51,ALLOW,TCP,127.0.0.1,127.0.0.1,51520,9770,0,-,0,0,0,RECEIVE
6509,2021-02-11,14:46:52,ALLOW,TCP,127.0.0.1,127.0.0.1,51521,9770,0,-,0,0,0,SEND
6510,2021-02-11,14:46:52,ALLOW,TCP,127.0.0.1,127.0.0.1,51521,9770,0,-,0,0,0,RECEIVE
6511,2021-02-11,14:46:53,ALLOW,TCP,127.0.0.1,127.0.0.1,51523,9770,0,-,0,0,0,SEND
6512,2021-02-11,14:46:53,ALLOW,TCP,127.0.0.1,127.0.0.1,51523,9770,0,-,0,0,0,RECEIVE
6513,2021-02-11,14:46:54,ALLOW,TCP,127.0.0.1,127.0.0.1,51525,9770,0,-,0,0,0,SEND
6514,2021-02-11,14:46:54,ALLOW,TCP,127.0.0.1,127.0.0.1,51525,9770,0,-,0,0,0,RECEIVE
6515,2021-02-11,14:46:55,ALLOW,TCP,127.0.0.1,127.0.0.1,51526,9770,0,-,0,0,0,SEND
6516,2021-02-11,14:46:55,ALLOW,TCP,127.0.0.1,127.0.0.1,51526,9770,0,-,0,0,0,RECEIVE
6517,2021-02-11,14:46:56,ALLOW,TCP,127.0.0.1,127.0.0.1,51527,9770,0,-,0,0,0,SEND
6518,2021-02-11,14:46:56,ALLOW,TCP,127.0.0.1,127.0.0.1,51527,9770,0,-,0,0,0,RECEIVE
6519,2021-02-11,14:46:57,ALLOW,TCP,127.0.0.1,127.0.0.1,51528,9770,0,-,0,0,0,SEND
6520,2021-02-11,14:46:57,ALLOW,TCP,127.0.0.1,127.0.0.1,51528,9770,0,-,0,0,0,RECEIVE
6521,2021-02-11,14:46:58,ALLOW,TCP,127.0.0.1,127.0.0.1,51529,9770,0,-,0,0,0,SEND
6522,2021-02-11,14:46:58,ALLOW,TCP,127.0.0.1,127.0.0.1,51529,9770,0,-,0,0,0,RECEIVE
6523,2021-02-11,14:46:59,ALLOW,TCP,127.0.0.1,127.0.0.1,51530,9770,0,-,0,0,0,SEND
6524,2021-02-11,14:46:59,ALLOW,TCP,127.0.0.1,127.0.0.1,51530,9770,0,-,0,0,0,RECEIVE
6525,2021-02-11,14:47:00,ALLOW,TCP,127.0.0.1,127.0.0.1,51533,9770,0,-,0,0,0,SEND
6526,2021-02-11,14:47:00,ALLOW,TCP,127.0.0.1,127.0.0.1,51533,9770,0,-,0,0,0,RECEIVE
6527,2021-02-11,14:47:01,ALLOW,TCP,127.0.0.1,127.0.0.1,51534,9770,0,-,0,0,0,SEND
6528,2021-02-11,14:47:01,ALLOW,TCP,127.0.0.1,127.0.0.1,51534,9770,0,-,0,0,0,RECEIVE
6529,2021-02-11,14:47:02,ALLOW,TCP,127.0.0.1,127.0.0.1,51535,9770,0,-,0,0,0,SEND
6530,2021-02-11,14:47:02,ALLOW,TCP,127.0.0.1,127.0.0.1,51535,9770,0,-,0,0,0,RECEIVE
6531,2021-02-11,14:47:03,ALLOW,TCP,127.0.0.1,127.0.0.1,51536,9770,0,-,0,0,0,SEND
6532,2021-02-11,14:47:03,ALLOW,TCP,127.0.0.1,127.0.0.1,51536,9770,0,-,0,0,0,RECEIVE
6533,2021-02-11,14:47:04,ALLOW,TCP,127.0.0.1,127.0.0.1,51538,9770,0,-,0,0,0,SEND
6534,2021-02-11,14:47:04,ALLOW,TCP,127.0.0.1,127.0.0.1,51538,9770,0,-,0,0,0,RECEIVE
6535,2021-02-11,14:47:05,ALLOW,TCP,127.0.0.1,127.0.0.1,51540,9770,0,-,0,0,0,SEND
6536,2021-02-11,14:47:05,ALLOW,TCP,127.0.0.1,127.0.0.1,51540,9770,0,-,0,0,0,RECEIVE
6537,2021-02-11,14:47:06,ALLOW,TCP,127.0.0.1,127.0.0.1,51541,9770,0,-,0,0,0,SEND
6538,2021-02-11,14:47:06,ALLOW,TCP,127.0.0.1,127.0.0.1,51541,9770,0,-,0,0,0,RECEIVE
6539,2021-02-11,14:47:07,ALLOW,TCP,127.0.0.1,127.0.0.1,51542,9770,0,-,0,0,0,SEND
6540,2021-02-11,14:47:07,ALLOW,TCP,127.0.0.1,127.0.0.1,51542,9770,0,-,0,0,0,RECEIVE
6541,2021-02-11,14:47:08,ALLOW,TCP,127.0.0.1,127.0.0.1,51544,9770,0,-,0,0,0,SEND
6542,2021-02-11,14:47:08,ALLOW,TCP,127.0.0.1,127.0.0.1,51544,9770,0,-,0,0,0,RECEIVE
6543,2021-02-11,14:47:09,ALLOW,TCP,127.0.0.1,127.0.0.1,51546,9770,0,-,0,0,0,SEND
6544,2021-02-11,14:47:09,ALLOW,TCP,127.0.0.1,127.0.0.1,51546,9770,0,-,0,0,0,RECEIVE
6545,2021-02-11,14:47:10,ALLOW,TCP,127.0.0.1,127.0.0.1,51547,9770,0,-,0,0,0,SEND
6546,2021-02-11,14:47:10,ALLOW,TCP,127.0.0.1,127.0.0.1,51547,9770,0,-,0,0,0,RECEIVE
6547,2021-02-11,14:47:11,ALLOW,TCP,127.0.0.1,127.0.0.1,51548,9770,0,-,0,0,0,SEND
6548,2021-02-11,14:47:11,ALLOW,TCP,127.0.0.1,127.0.0.1,51548,9770,0,-,0,0,0,RECEIVE
6549,2021-02-11,14:47:12,ALLOW,TCP,127.0.0.1,127.0.0.1,51551,9770,0,-,0,0,0,SEND
6550,2021-02-11,14:47:12,ALLOW,TCP,127.0.0.1,127.0.0.1,51551,9770,0,-,0,0,0,RECEIVE
6551,2021-02-11,14:47:13,ALLOW,TCP,127.0.0.1,127.0.0.1,51552,9770,0,-,0,0,0,SEND
6552,2021-02-11,14:47:13,ALLOW,TCP,127.0.0.1,127.0.0.1,51552,9770,0,-,0,0,0,RECEIVE
6553,2021-02-11,14:47:14,ALLOW,TCP,127.0.0.1,127.0.0.1,51553,9770,0,-,0,0,0,SEND
6554,2021-02-11,14:47:14,ALLOW,TCP,127.0.0.1,127.0.0.1,51553,9770,0,-,0,0,0,RECEIVE
6555,2021-02-11,14:47:15,ALLOW,TCP,127.0.0.1,127.0.0.1,51554,9770,0,-,0,0,0,SEND
6556,2021-02-11,14:47:15,ALLOW,TCP,127.0.0.1,127.0.0.1,51554,9770,0,-,0,0,0,RECEIVE
6557,2021-02-11,14:47:16,ALLOW,TCP,127.0.0.1,127.0.0.1,51557,9770,0,-,0,0,0,SEND
6558,2021-02-11,14:47:16,ALLOW,TCP,127.0.0.1,127.0.0.1,51557,9770,0,-,0,0,0,RECEIVE
6559,2021-02-11,14:47:17,ALLOW,TCP,127.0.0.1,127.0.0.1,51558,9770,0,-,0,0,0,SEND
6560,2021-02-11,14:47:17,ALLOW,TCP,127.0.0.1,127.0.0.1,51558,9770,0,-,0,0,0,RECEIVE
6561,2021-02-11,14:47:18,ALLOW,TCP,127.0.0.1,127.0.0.1,51559,9770,0,-,0,0,0,SEND
6562,2021-02-11,14:47:18,ALLOW,TCP,127.0.0.1,127.0.0.1,51559,9770,0,-,0,0,0,RECEIVE
6563,2021-02-11,14:47:19,ALLOW,TCP,127.0.0.1,127.0.0.1,51560,9770,0,-,0,0,0,SEND
6564,2021-02-11,14:47:19,ALLOW,TCP,127.0.0.1,127.0.0.1,51560,9770,0,-,0,0,0,RECEIVE
6565,2021-02-11,14:47:20,ALLOW,TCP,127.0.0.1,127.0.0.1,51561,9770,0,-,0,0,0,SEND
6566,2021-02-11,14:47:20,ALLOW,TCP,127.0.0.1,127.0.0.1,51561,9770,0,-,0,0,0,RECEIVE
6567,2021-02-11,14:47:21,ALLOW,TCP,127.0.0.1,127.0.0.1,51564,9770,0,-,0,0,0,SEND
6568,2021-02-11,14:47:21,ALLOW,TCP,127.0.0.1,127.0.0.1,51564,9770,0,-,0,0,0,RECEIVE
6569,2021-02-11,14:47:22,ALLOW,TCP,127.0.0.1,127.0.0.1,51565,9770,0,-,0,0,0,SEND
6570,2021-02-11,14:47:22,ALLOW,TCP,127.0.0.1,127.0.0.1,51565,9770,0,-,0,0,0,RECEIVE
6571,2021-02-11,14:47:23,ALLOW,TCP,127.0.0.1,127.0.0.1,51566,9770,0,-,0,0,0,SEND
6572,2021-02-11,14:47:23,ALLOW,TCP,127.0.0.1,127.0.0.1,51566,9770,0,-,0,0,0,RECEIVE
6573,2021-02-11,14:47:24,ALLOW,TCP,127.0.0.1,127.0.0.1,51567,9770,0,-,0,0,0,SEND
6574,2021-02-11,14:47:24,ALLOW,TCP,127.0.0.1,127.0.0.1,51567,9770,0,-,0,0,0,RECEIVE
6575,2021-02-11,14:47:24,ALLOW,UDP,192.168.1.166,192.168.1.1,51734,53,0,-,-,-,-,SEND
6576,2021-02-11,14:47:24,ALLOW,TCP,192.168.1.166,77.88.21.119,51568,443,0,-,0,0,0,SEND
6577,2021-02-11,14:47:25,ALLOW,TCP,127.0.0.1,127.0.0.1,51569,9770,0,-,0,0,0,SEND
6578,2021-02-11,14:47:25,ALLOW,TCP,127.0.0.1,127.0.0.1,51569,9770,0,-,0,0,0,RECEIVE
6579,2021-02-11,14:47:26,ALLOW,TCP,127.0.0.1,127.0.0.1,51570,9770,0,-,0,0,0,SEND
6580,2021-02-11,14:47:26,ALLOW,TCP,127.0.0.1,127.0.0.1,51570,9770,0,-,0,0,0,RECEIVE
6581,2021-02-11,14:47:27,ALLOW,TCP,127.0.0.1,127.0.0.1,51571,9770,0,-,0,0,0,SEND
6582,2021-02-11,14:47:27,ALLOW,TCP,127.0.0.1,127.0.0.1,51571,9770,0,-,0,0,0,RECEIVE
6583,2021-02-11,14:47:28,ALLOW,TCP,127.0.0.1,127.0.0.1,51574,9770,0,-,0,0,0,SEND
6584,2021-02-11,14:47:28,ALLOW,TCP,127.0.0.1,127.0.0.1,51574,9770,0,-,0,0,0,RECEIVE
6585,2021-02-11,14:47:29,ALLOW,TCP,127.0.0.1,127.0.0.1,51575,9770,0,-,0,0,0,SEND
6586,2021-02-11,14:47:29,ALLOW,TCP,127.0.0.1,127.0.0.1,51575,9770,0,-,0,0,0,RECEIVE
6587,2021-02-11,14:47:29,ALLOW,UDP,192.168.56.1,239.255.255.250,51736,1900,0,-,-,-,-,SEND
6588,2021-02-11,14:47:29,ALLOW,UDP,192.168.99.1,239.255.255.250,51737,1900,0,-,-,-,-,SEND
6589,2021-02-11,14:47:29,ALLOW,UDP,10.5.1.4,239.255.255.250,51738,1900,0,-,-,-,-,SEND
6590,2021-02-11,14:47:29,ALLOW,UDP,192.168.1.166,239.255.255.250,51739,1900,0,-,-,-,-,SEND
6591,2021-02-11,14:47:30,ALLOW,TCP,127.0.0.1,127.0.0.1,51576,9770,0,-,0,0,0,SEND
6592,2021-02-11,14:47:30,ALLOW,TCP,127.0.0.1,127.0.0.1,51576,9770,0,-,0,0,0,RECEIVE
6593,2021-02-11,14:47:31,ALLOW,TCP,127.0.0.1,127.0.0.1,51577,9770,0,-,0,0,0,SEND
6594,2021-02-11,14:47:31,ALLOW,TCP,127.0.0.1,127.0.0.1,51577,9770,0,-,0,0,0,RECEIVE
6595,2021-02-11,14:47:32,ALLOW,TCP,127.0.0.1,127.0.0.1,51580,9770,0,-,0,0,0,SEND
6596,2021-02-11,14:47:32,ALLOW,TCP,127.0.0.1,127.0.0.1,51580,9770,0,-,0,0,0,RECEIVE
6597,2021-02-11,14:47:33,ALLOW,TCP,127.0.0.1,127.0.0.1,51581,9770,0,-,0,0,0,SEND
6598,2021-02-11,14:47:33,ALLOW,TCP,127.0.0.1,127.0.0.1,51581,9770,0,-,0,0,0,RECEIVE
6599,2021-02-11,14:47:34,ALLOW,TCP,127.0.0.1,127.0.0.1,51582,9770,0,-,0,0,0,SEND
6600,2021-02-11,14:47:34,ALLOW,TCP,127.0.0.1,127.0.0.1,51582,9770,0,-,0,0,0,RECEIVE
6601,2021-02-11,14:47:35,ALLOW,TCP,127.0.0.1,127.0.0.1,51583,9770,0,-,0,0,0,SEND
6602,2021-02-11,14:47:35,ALLOW,TCP,127.0.0.1,127.0.0.1,51583,9770,0,-,0,0,0,RECEIVE
6603,2021-02-11,14:47:36,ALLOW,TCP,127.0.0.1,127.0.0.1,51586,9770,0,-,0,0,0,SEND
6604,2021-02-11,14:47:36,ALLOW,TCP,127.0.0.1,127.0.0.1,51586,9770,0,-,0,0,0,RECEIVE
6605,2021-02-11,14:47:37,ALLOW,TCP,127.0.0.1,127.0.0.1,51587,9770,0,-,0,0,0,SEND
6606,2021-02-11,14:47:37,ALLOW,TCP,127.0.0.1,127.0.0.1,51587,9770,0,-,0,0,0,RECEIVE
6607,2021-02-11,14:47:38,ALLOW,TCP,127.0.0.1,127.0.0.1,51588,9770,0,-,0,0,0,SEND
6608,2021-02-11,14:47:38,ALLOW,TCP,127.0.0.1,127.0.0.1,51588,9770,0,-,0,0,0,RECEIVE
6609,2021-02-11,14:47:39,ALLOW,TCP,127.0.0.1,127.0.0.1,51589,9770,0,-,0,0,0,SEND
6610,2021-02-11,14:47:39,ALLOW,TCP,127.0.0.1,127.0.0.1,51589,9770,0,-,0,0,0,RECEIVE
6611,2021-02-11,14:47:40,ALLOW,TCP,127.0.0.1,127.0.0.1,51592,9770,0,-,0,0,0,SEND
6612,2021-02-11,14:47:40,ALLOW,TCP,127.0.0.1,127.0.0.1,51592,9770,0,-,0,0,0,RECEIVE
6613,2021-02-11,14:47:41,ALLOW,TCP,127.0.0.1,127.0.0.1,51593,9770,0,-,0,0,0,SEND
6614,2021-02-11,14:47:41,ALLOW,TCP,127.0.0.1,127.0.0.1,51593,9770,0,-,0,0,0,RECEIVE
6615,2021-02-11,14:47:42,ALLOW,TCP,127.0.0.1,127.0.0.1,51594,9770,0,-,0,0,0,SEND
6616,2021-02-11,14:47:42,ALLOW,TCP,127.0.0.1,127.0.0.1,51594,9770,0,-,0,0,0,RECEIVE
6617,2021-02-11,14:47:43,ALLOW,TCP,127.0.0.1,127.0.0.1,51595,9770,0,-,0,0,0,SEND
6618,2021-02-11,14:47:43,ALLOW,TCP,127.0.0.1,127.0.0.1,51595,9770,0,-,0,0,0,RECEIVE
6619,2021-02-11,14:47:44,ALLOW,TCP,127.0.0.1,127.0.0.1,51596,9770,0,-,0,0,0,SEND
6620,2021-02-11,14:47:44,ALLOW,TCP,127.0.0.1,127.0.0.1,51596,9770,0,-,0,0,0,RECEIVE
6621,2021-02-11,14:47:45,ALLOW,TCP,127.0.0.1,127.0.0.1,51598,9770,0,-,0,0,0,SEND
6622,2021-02-11,14:47:45,ALLOW,TCP,127.0.0.1,127.0.0.1,51598,9770,0,-,0,0,0,RECEIVE
6623,2021-02-11,14:47:46,ALLOW,TCP,127.0.0.1,127.0.0.1,51600,9770,0,-,0,0,0,SEND
6624,2021-02-11,14:47:46,ALLOW,TCP,127.0.0.1,127.0.0.1,51600,9770,0,-,0,0,0,RECEIVE
6625,2021-02-11,14:47:47,ALLOW,TCP,127.0.0.1,127.0.0.1,51601,9770,0,-,0,0,0,SEND
6626,2021-02-11,14:47:47,ALLOW,TCP,127.0.0.1,127.0.0.1,51601,9770,0,-,0,0,0,RECEIVE
6627,2021-02-11,14:47:48,ALLOW,TCP,127.0.0.1,127.0.0.1,51602,9770,0,-,0,0,0,SEND
6628,2021-02-11,14:47:48,ALLOW,TCP,127.0.0.1,127.0.0.1,51602,9770,0,-,0,0,0,RECEIVE
6629,2021-02-11,14:47:49,ALLOW,TCP,127.0.0.1,127.0.0.1,51603,9770,0,-,0,0,0,SEND
6630,2021-02-11,14:47:49,ALLOW,TCP,127.0.0.1,127.0.0.1,51603,9770,0,-,0,0,0,RECEIVE
6631,2021-02-11,14:47:50,ALLOW,TCP,127.0.0.1,127.0.0.1,51604,9770,0,-,0,0,0,SEND
6632,2021-02-11,14:47:50,ALLOW,TCP,127.0.0.1,127.0.0.1,51604,9770,0,-,0,0,0,RECEIVE
